ClassNo,Class,className,branchId,branchName,classId
1,Pre KG,Pre KG,1,Kindergarten,1
2,LKG - A,LKG,1,Kindergarten,2
3,LKG - B,LKG,1,Kindergarten,2
4,UKG - A,UKG,1,Kindergarten,3
5,UKG - B,UKG,1,Kindergarten,3
6,UKG - C,UKG,1,Kindergarten,3
7,I - A,I,2,Primary,4
8,I - B,I,2,Primary,4
9,I - C,I,2,Primary,4
10,I - D,I,2,Primary,4
11,II - A,II,2,Primary,5
12,II - B,II,2,Primary,5
13,II - C,II,2,Primary,5
14,II - D,II,2,Primary,5
15,III - A,III,2,Primary,6
16,III - B,III,2,Primary,6
17,III - C,III,2,Primary,6
18,III - D,III,2,Primary,6
19,IV - A,IV,2,Primary,7
20,IV - B,IV,2,Primary,7
21,IV - C,IV,2,Primary,7
22,IV - D,IV,2,Primary,7
23,V - A,V,2,Primary,8
24,V - B,V,2,Primary,8
25,V - C,V,2,Primary,8
26,V - D,V,2,Primary,8
27,VI - A,VI,3,Higher,9
28,VI - B,VI,3,Higher,9
29,VI - C,VI,3,Higher,9
30,VI - D,VI,3,Higher,9
31,VII - A,VII,3,Higher,10
32,VII - B,VII,3,Higher,10
33,VII - C,VII,3,Higher,10
34,VII - D,VII,3,Higher,10
35,VIII - A,VIII,3,Higher,11
36,VIII - B,VIII,3,Higher,11
37,VIII - C,VIII,3,Higher,11
38,IX - A,IX,3,Higher,12
39,IX - B,IX,3,Higher,12
40,IX - C,IX,3,Higher,12
41,X - A,X,3,Higher,13
42,X - B,X,3,Higher,13
43,X - C,X,3,Higher,13
